shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
0.01227184630308513,-1.765611886856373,1.5800002115222105,1.244058418975255,0.01227184630308513,-0.3175340230923277
0.01227184630308513,-1.765611886856373,1.5800002115222105,1.244058418975255,0.01227184630308513,-0.3175340230923277
-0.07976700097005335,-1.761009944492716,1.5800002115222105,0.9602719732164113,0.08283496254582462,-0.2745825610315298
-0.29605829206192874,-1.213378803217542,1.5800002115222105,0.17640779060684875,0.07209709703062514,0.10124273200045232
-0.44638840927472156,-0.8191457407309324,1.5800002115222105,-0.43718452454740775,0.007669903939428206,0.4770680250324344
-0.5553010452146021,-0.38502917775929596,1.5370487494614125,-1.1198059751565181,-0.0015339807878856412,0.44178646691106466
-0.5568350260024878,-0.06596117387908257,1.1688933603688585,-1.1351457830353744,-0.0015339807878856412,0.3666214083046682
-0.5553010452146021,0.25157284921324513,0.7853981633974483,-1.1351457830353744,-0.0015339807878856412,0.37889325460775336
-0.5553010452146021,0.40343694721392365,0.5737088146692298,-1.1351457830353744,-0.0015339807878856412,0.37889325460775336
-0.5460971604872883,0.5016117176386047,0.45252433242626416,-1.1351457830353744,-0.0015339807878856412,0.37889325460775336
-0.5307573526084318,0.5016117176386047,0.45252433242626416,-1.1382137446111458,-0.0015339807878856412,0.06442719309119693
-0.5353592949720888,0.5016117176386047,0.45252433242626416,-1.1612234564294304,0.0,-0.2807184841830723
-0.581378718608658,0.2761165418194154,0.7102331047910518,-1.1489516101263453,0.0,-0.3144660615165564
-0.6642136811544826,-0.047553404424454875,0.9970875121256667,-1.1489516101263453,0.0,-0.3175340230923277
-0.5537670644267164,-0.500077736850719,1.3054176504906807,-0.9433981845496693,0.0,-0.3175340230923277
-0.260776733940559,-1.2302525918842842,1.4373399982488457,-0.2991262536377,-0.007669903939428206,-0.3175340230923277
-0.1825437137583913,-1.1704273411567443,1.0062913968529805,0.6059224112148283,-0.200951483213019,-0.3175340230923277
-0.13959225169759334,-0.22242721424341796,0.1303883669702795,1.1474176293384597,-0.2868544073346149,-0.3175340230923277
-0.06442719309119693,0.38502917775929596,-0.21015536794033285,1.2195147263690846,-0.2868544073346149,-0.3175340230923277
-0.05829126993965436,0.45712627478992107,-0.2454369260617026,1.2287186110963986,-0.2868544073346149,-0.15800002115222103
-0.056757289151768725,0.46019423636569234,-0.2454369260617026,1.064582666792635,-0.2868544073346149,0.8820389530342436
-0.056757289151768725,0.02761165418194154,0.17487380981896308,0.8344855486097889,-0.2868544073346149,0.5967185264875144
-0.01227184630308513,-1.2118448224296565,1.2977477465512524,0.2561747915769021,-0.1595340019401067,-0.3083301383650139
-0.21168934872821848,-1.753340040553288,1.5800002115222105,0.8713010875190442,-0.01687378866674205,-0.3175340230923277
-0.22089323345553233,-1.7640779060684872,1.5800002115222105,1.2302525918842842,-0.007669903939428206,-0.3175340230923277
