shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
-0.06289321230331128,-1.8300390799475699,1.543184672612955,1.217980745581199,-0.05368932757599744,-0.25770877236478773
-0.06135923151542565,-1.8300390799475699,1.543184672612955,1.217980745581199,-0.05368932757599744,-0.25770877236478773
-0.06135923151542565,-1.8300390799475699,1.543184672612955,1.217980745581199,-0.05368932757599744,-0.25770877236478773
-0.06135923151542565,-1.8300390799475699,1.543184672612955,1.217980745581199,-0.05368932757599744,-0.25770877236478773
-0.059825250727540004,-1.6490293469770643,1.543184672612955,1.012427320004523,-0.0521553467881118,-0.25770877236478773
0.0046019423636569235,-1.2118448224296565,1.543184672612955,0.38963112012295287,-0.0521553467881118,-0.25770877236478773
0.09817477042468103,-0.7501166052760785,1.5416506918250694,-0.40803888957758055,-0.04908738521234052,-0.25770877236478773
0.19481556006147643,-0.342077715698498,1.5416506918250694,-1.167359379580973,0.010737865515199488,-0.25770877236478773
0.23930100291016002,-0.06442719309119693,1.4802914603096438,-1.696582751401519,0.03834951969714103,-0.25770877236478773
0.25770877236478773,-0.035281558121369745,1.3621749396424494,-1.7426021750380885,0.07669903939428206,-0.09817477042468103
0.30066023442558565,0.02914563496982718,1.3069516312785663,-1.6490293469770643,0.047553404424454875,0.38349519697141027
0.3052621767892426,0.1825437137583913,1.1013982057018903,-1.5186409800067848,0.02761165418194154,0.7179030087304801
0.30679615757712825,0.342077715698498,0.9157865303677277,-1.5140390376431279,-0.02454369260617026,0.7071651432152806
0.30679615757712825,0.4663301595172349,0.7271068934577939,-1.5140390376431279,-0.02761165418194154,0.6994952392758523
0.3083301383650139,0.5522330836388308,0.5721748338813442,-1.4986992297642714,-0.02761165418194154,0.6994952392758523
0.3098641191528995,0.5614369683661447,0.4433204476989503,-1.3314953238847365,-0.02761165418194154,0.6994952392758523
0.3098641191528995,0.5660389107298016,0.4433204476989503,-1.3284273623089653,-0.02761165418194154,0.679553489033339
0.3098641191528995,0.5645049299419159,0.4433204476989503,-1.37598076673342,-0.02761165418194154,0.342077715698498
0.3098641191528995,0.5614369683661447,0.48933987133551954,-1.4818254410975293,-0.02914563496982718,0.11351457830353745
0.3144660615165564,0.5292233718205462,0.5537670644267164,-1.4986992297642714,-0.030679615757712823,-0.0030679615757712823
0.31600004230444206,0.5016117176386047,0.5859806609723149,-1.4925633066127288,-0.030679615757712823,-0.0046019423636569235
0.3175340230923277,0.38196121618352463,0.7455146629124216,-1.4940972874006144,-0.030679615757712823,-0.1303883669702795
0.32213596545598466,0.25157284921324513,0.8912428377615575,-1.4940972874006144,-0.02914563496982718,-0.25464081078901646
0.3190680038802134,0.05829126993965436,1.1320778214596032,-1.4940972874006144,-0.02761165418194154,-0.2561747915769021
0.3190680038802134,-0.17640779060684875,1.3775147475213059,-1.4925633066127288,-0.02761165418194154,-0.2561747915769021
0.2454369260617026,-0.44178646691106466,1.4802914603096438,-1.346835131763593,-0.02761165418194154,-0.2561747915769021
0.019941750242513337,-0.6258641614573416,1.504835152915814,-1.1535535524900022,-0.02761165418194154,-0.2561747915769021
-0.27304858024364415,-0.5660389107298016,1.5401167110371838,-1.346835131763593,-0.02761165418194154,-0.2561747915769021
-0.4693981210930062,-0.39269908169872414,1.5416506918250694,-1.4787574795217582,-0.02761165418194154,-0.2561747915769021
-0.521553467881118,-0.34821363885004053,1.5416506918250694,-1.5140390376431279,-0.02761165418194154,-0.2561747915769021
-0.526155410244775,-0.34821363885004053,1.5416506918250694,-1.5140390376431279,-0.02761165418194154,-0.2561747915769021

